,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
155,37.80041,-122.41569,Serviced apartment,Hotel room,1.0,1.0,30,148.0
156,37.73853,-122.47166,Apartment,Entire home/apt,1.0,1.0,2,160.0
157,37.74687,-122.40964,Guest suite,Entire home/apt,1.0,1.0,3,145.0
158,37.80139,-122.41534,Condominium,Entire home/apt,2.5,4.0,1,490.0
159,37.76717,-122.42419,Apartment,Entire home/apt,1.0,2.0,3,280.0
160,37.79472,-122.40519,House,Shared room,1.0,1.0,30,30.0
161,37.72376,-122.42926,House,Private room,1.0,1.0,2,90.0
162,37.77296,-122.43497,Condominium,Entire home/apt,2.0,3.0,3,375.0
163,37.77985,-122.48478,Apartment,Entire home/apt,1.0,1.0,3,130.0
164,37.76197,-122.40365,Apartment,Entire home/apt,1.0,1.0,30,170.0
165,37.74946,-122.40917,House,Entire home/apt,1.5,2.0,3,295.0
166,37.74312,-122.40647,House,Entire home/apt,2.0,4.0,30,275.0
167,37.74395,-122.43253,House,Entire home/apt,1.0,2.0,3,260.0
168,37.75981,-122.42447,Apartment,Entire home/apt,1.0,3.0,3,495.0
169,37.73821,-122.39146,Apartment,Private room,1.0,1.0,30,70.0
170,37.72509,-122.43309,House,Private room,1.0,1.0,30,95.0
171,37.71725,-122.43562,House,Private room,1.0,1.0,7,100.0
172,37.73496,-122.41656,House,Entire home/apt,2.5,4.0,4,449.0
173,37.72988,-122.42673,House,Private room,1.0,1.0,30,43.0
174,37.74416,-122.43598,Guest suite,Entire home/apt,1.0,1.0,5,129.0
175,37.7605,-122.42317,Apartment,Entire home/apt,1.0,2.0,5,220.0
176,37.77822,-122.45813,House,Entire home/apt,2.0,3.0,3,450.0
177,37.74521,-122.41938,House,Private room,1.0,1.0,4,105.0
178,37.76149,-122.40874,Apartment,Private room,1.0,1.0,4,103.0
179,37.80043,-122.40543,Apartment,Entire home/apt,1.0,1.0,4,200.0
180,37.74472,-122.43699,House,Private room,1.0,1.0,2,95.0
181,37.73279,-122.43701,House,Private room,1.0,1.0,2,68.0
182,37.77053,-122.42848,Condominium,Entire home/apt,1.0,2.0,3,280.0
183,37.77558,-122.4406,Apartment,Private room,1.0,1.0,2,93.0
184,37.75036,-122.42621,House,Private room,1.0,1.0,2,105.0
185,37.79648,-122.4118,Apartment,Entire home/apt,1.0,2.0,5,295.0
186,37.75731,-122.40954,House,Private room,1.0,1.0,30,98.0
187,37.77023,-122.42957,Condominium,Private room,1.0,1.0,2,95.0
188,37.79384,-122.42436,Apartment,Private room,1.0,1.0,30,63.0
189,37.77586,-122.44243,Condominium,Entire home/apt,1.0,3.0,30,350.0
190,37.76024,-122.4088,Apartment,Private room,1.0,1.0,31,72.0
191,37.76668,-122.45095,House,Entire home/apt,2.5,3.0,3,375.0
192,37.79527,-122.40925,Apartment,Entire home/apt,1.0,3.0,7,450.0
193,37.75566,-122.43454,Condominium,Entire home/apt,1.0,1.0,30,201.0
194,37.7371,-122.39761,House,Private room,1.0,1.0,31,50.0
195,37.73258,-122.44126,Apartment,Private room,1.0,1.0,30,79.0
196,37.80392,-122.43422,Apartment,Entire home/apt,1.0,1.0,30,145.0
197,37.76612,-122.42771,Apartment,Entire home/apt,1.5,4.0,4,500.0
198,37.74038,-122.41755,House,Private room,1.0,1.0,3,79.0
199,37.7351,-122.4415,House,Private room,1.0,1.0,2,85.0
200,37.74514,-122.40459,House,Private room,1.0,1.0,3,90.0
