,bedrooms,room_type_Private room,bathrooms,room_type_Shared room,latitude,property_type_House,minimum_nights,longitude,predicted,price,off,new_price
5826,0.0,0,1.0,0,37.78685,0,30,-122.39077,144.71643806392814,142.0,False,142.0
5827,1.0,0,1.0,0,37.77387,0,30,-122.39134,172.21857969206195,174.0,False,174.0
5828,1.0,0,1.0,0,37.77725,0,30,-122.41409,158.70349220481992,157.0,False,157.0
5829,1.0,0,1.0,0,37.77741,0,30,-122.41357,158.8460415534713,157.0,False,157.0
5830,1.0,0,1.0,0,37.7876,0,30,-122.39301,174.05662461233808,223.0,True,174.05662461233808
5831,0.0,0,1.0,0,37.77435,0,2,-122.45012,134.17246088550107,400.0,True,134.17246088550107
5832,1.0,0,1.0,0,37.78568,0,30,-122.4453,161.73360893685643,138.0,False,138.0
5833,3.0,0,2.0,0,37.77823,0,4,-122.48764,388.48708197407393,549.0,True,388.48708197407393
5834,1.0,1,1.0,0,37.74338,1,30,-122.48157,66.00092407455772,65.0,False,65.0
5835,2.0,0,1.0,0,37.7749,0,2,-122.43802,291.4969641552178,375.0,True,291.4969641552178
5836,1.0,1,1.0,0,37.7193,1,2,-122.45553,75.59089695250022,55.0,False,55.0
5837,1.0,1,1.0,0,37.71925,1,2,-122.45592,75.71748822234146,69.0,False,69.0
5838,1.0,1,1.0,0,37.71709,1,1,-122.4323,72.00689484836414,80.0,False,80.0
5839,1.0,1,1.0,0,37.72504,1,2,-122.47205,81.89254791056997,85.0,False,85.0
5840,3.0,0,3.0,0,37.73169,1,3,-122.44751,325.5425388258255,250.0,True,325.5425388258255
5841,1.0,0,1.0,0,37.75804,0,2,-122.40862,172.17491885713605,189.0,False,189.0
5842,1.0,1,1.0,0,37.77239,1,30,-122.41769,71.04085767704694,66.0,False,66.0
5843,1.0,0,1.0,1,37.774,1,30,-122.41767,36.38005455721865,30.0,False,30.0
5844,0.0,0,1.0,0,37.77819,0,1,-122.42256,143.3585010391777,140.0,False,140.0
5845,0.0,0,1.0,0,37.77847,0,1,-122.42287,143.4181002455269,140.0,False,140.0
5846,1.0,1,1.0,0,37.72323,0,1,-122.46264,91.5527986792393,100.0,False,100.0
5847,1.0,1,1.0,0,37.77795,0,30,-122.43825,74.43291610806953,200.0,True,74.43291610806953
5848,1.0,1,1.0,0,37.77766,0,30,-122.43817,74.19790612873874,180.0,True,74.19790612873874
5849,1.0,1,1.0,0,37.77613,0,30,-122.43721,71.9129524096116,180.0,True,71.9129524096116
5850,1.0,1,1.0,0,37.77785,0,30,-122.43647,76.75701404925582,180.0,True,76.75701404925582
5851,1.0,0,1.0,0,37.8057,0,30,-122.42063,150.7026211771538,110.0,True,150.7026211771538
5852,1.0,1,1.0,0,37.73778,1,2,-122.41812,82.86986757196586,60.0,False,60.0
5853,1.0,1,1.0,0,37.76748,1,30,-122.42404,85.28798749214228,125.0,True,85.28798749214228
5854,1.0,1,1.0,0,37.71769,1,1,-122.43196,71.89539485946413,68.0,False,68.0
5855,2.0,0,1.0,0,37.76185,0,2,-122.42896,296.45458305181916,200.0,True,296.45458305181916
5856,0.0,0,1.0,0,37.74138,0,1,-122.47612,139.47024744251732,99.0,True,139.47024744251732
5857,1.0,1,1.0,0,37.76414,0,4,-122.42593,90.31417120991013,90.0,False,90.0
5858,1.0,0,1.0,0,37.77663,0,30,-122.39808,169.17658811848597,170.0,False,170.0
5859,2.0,0,2.0,0,37.7629,0,30,-122.39445,244.07148855340787,180.0,True,244.07148855340787
5860,1.0,1,1.0,0,37.71354,1,1,-122.45962,71.06969870998257,55.0,False,55.0
5861,1.0,1,1.0,0,37.71273,1,1,-122.45943,72.91268873847258,65.0,False,65.0
5862,1.0,0,1.0,1,37.76782,1,31,-122.4489,38.658385662158196,33.0,False,33.0
5863,4.0,0,1.0,0,37.70993,1,1,-122.43169,326.83101607700365,175.0,True,326.83101607700365
5864,1.0,1,1.0,0,37.74959,1,1,-122.47686,90.34647253793914,100.0,False,100.0
5865,1.0,0,1.0,0,37.77936,1,14,-122.46017,137.6237615499859,250.0,True,137.6237615499859
5866,1.0,0,1.0,1,37.76877,1,31,-122.44887,37.34347498976958,33.0,False,33.0
5867,1.0,0,1.0,1,37.76724,1,31,-122.44875,38.823592011364546,33.0,False,33.0
5868,1.0,0,1.0,1,37.76844,1,31,-122.44827,37.416927669326576,33.0,False,33.0
5869,2.0,0,1.0,0,37.71153,0,2,-122.39653,218.44721515355073,99.0,True,218.44721515355073
5870,2.0,0,2.0,0,37.79135,0,30,-122.42537,264.29455317821726,300.0,True,264.29455317821726
5871,0.0,0,1.0,0,37.78754,0,30,-122.41553,135.92306123393246,133.0,False,133.0
5872,0.0,0,1.0,0,37.7742,0,30,-122.39047,144.01016308606387,215.0,True,144.01016308606387
5873,1.0,0,1.0,0,37.77875,0,30,-122.40287,165.71851324386418,225.0,True,165.71851324386418
5874,1.0,0,1.0,0,37.78765,0,30,-122.41659,155.99853727899583,245.0,True,155.99853727899583
5875,1.0,0,1.0,0,37.77353,0,30,-122.39372,174.83287833630612,221.0,True,174.83287833630612
5876,0.0,0,1.0,0,37.77953,0,30,-122.40299,136.5746843524099,203.0,True,136.5746843524099
5877,1.0,0,1.0,0,37.78668,0,30,-122.41493,151.80789945856904,232.0,True,151.80789945856904
5878,1.0,0,1.0,0,37.78683,0,30,-122.41411,154.51962073384934,235.0,True,154.51962073384934
5879,1.0,0,1.0,0,37.77793,0,30,-122.41327,163.40302437448656,176.0,False,176.0
5880,1.0,0,1.0,0,37.77296,0,30,-122.39398,168.4140919416168,266.0,True,168.4140919416168
5881,0.0,0,1.0,0,37.80307,0,30,-122.40623,136.2658337651067,222.0,True,136.2658337651067
5882,1.0,0,1.0,0,37.80469,0,30,-122.40476,168.69306786569288,226.0,True,168.69306786569288
5883,0.0,0,1.0,0,37.77843,0,30,-122.43337,138.2674501120303,194.0,True,138.2674501120303
5884,0.0,0,1.0,0,37.77452,0,30,-122.39726,136.12708719523252,203.0,True,136.12708719523252
5885,2.0,0,2.0,0,37.78089,0,30,-122.40292,240.608058103152,333.0,True,240.608058103152
5886,2.0,0,2.0,0,37.77247,0,30,-122.42635,245.5062151241595,283.0,True,245.5062151241595
5887,0.0,0,1.0,0,37.78592,0,30,-122.43512,137.13237242453064,161.0,False,161.0
5888,1.0,0,1.0,0,37.78747,0,30,-122.42467,169.7982635451105,196.0,True,169.7982635451105
5889,0.0,0,1.0,0,37.7864,0,30,-122.4365,137.20918194834013,161.0,False,161.0
5890,2.0,0,2.0,0,37.77388,0,30,-122.39796,237.96747129134275,330.0,True,237.96747129134275
5891,1.0,0,1.0,0,37.78971,0,30,-122.41304,170.84502295738454,185.0,False,185.0
5892,1.0,0,1.0,0,37.77429,0,30,-122.41239,170.80502932725437,189.0,False,189.0
5893,0.0,0,1.0,0,37.77333,0,30,-122.3915,143.58738433103156,228.0,True,143.58738433103156
5894,2.0,0,1.5,0,37.74764,0,30,-122.42875,235.86175125527933,307.0,True,235.86175125527933
5895,0.0,0,1.0,0,37.78661,0,30,-122.4145,135.50949816466857,193.0,True,135.50949816466857
5896,1.0,0,1.0,0,37.77426,0,30,-122.39756,171.49702165798516,196.0,False,196.0
5897,1.0,0,1.0,0,37.77666,0,30,-122.41233,167.46223685275032,169.0,False,169.0
5898,1.0,0,1.0,0,37.7897,0,30,-122.39112,178.8742952226278,237.0,True,178.8742952226278
5899,1.0,0,1.0,0,37.77856,0,30,-122.41275,169.89112020036188,177.0,False,177.0
